Member_number,itemDescription
1808,tropical fruit
2552,whole milk
2300,pip fruit
1187,other vegetables
3037,whole milk
4941,rolls/buns
4501,other vegetables
3803,pot plants
2762,whole milk
4119,tropical fruit
1340,citrus fruit
2193,beef
1997,frankfurter
4546,chicken
4736,butter
1959,fruit/vegetable juice
1974,packaged fruit/vegetables
2421,chocolate
1513,specialty bar
1905,other vegetables
2810,butter milk
2867,whole milk
3962,tropical fruit
1088,tropical fruit
4976,bottled water
4056,yogurt
3611,sausage
1420,other vegetables
4286,brown bread
4918,yogurt
4783,hamburger meat
3709,root vegetables
4289,pork
1559,beef
2900,pastry
1905,fruit/vegetable juice
3527,canned beer
1495,root vegetables
3558,citrus fruit
3128,sausage
1863,tropical fruit
3841,berries
3903,canned beer
2658,butter milk
4272,coffee
1120,pastry
2676,rolls/buns
1697,misc. beverages
2507,root vegetables
4620,sausage
3365,canned beer
2978,ham
2910,turkey
1061,whole milk
3276,whole milk
1326,packaged fruit/vegetables
3023,rolls/buns
2185,ham
3552,rolls/buns
1967,other vegetables
4708,sausage
2874,sausage
4177,frankfurter
1663,rolls/buns
2632,whole milk
1377,curd cheese
4162,red/blush wine
2270,sausage
4829,tropical fruit
3811,red/blush wine
4766,whole milk
2436,frankfurter
3860,whole milk
4875,frozen potato products
1587,other vegetables
4038,citrus fruit
4750,flour
1199,sugar
1603,frozen meals
3111,chocolate
3894,root vegetables
1456,root vegetables
2022,herbs
2505,bottled water
4851,sausage
4293,coffee
2775,pork
3693,berries
1202,soda
3699,berries
4152,fruit/vegetable juice
4155,citrus fruit
4010,pork
4389,detergent
3746,grapes
2560,sausage
1503,chicken
2555,whole milk
3645,citrus fruit
3886,soda
2932,sausage
1711,frankfurter
4291,sausage
1143,soda
4564,rolls/buns
3337,beef
4931,whole milk
2623,processed cheese
4581,tropical fruit
2635,frankfurter
1095,packaged fruit/vegetables
2990,whole milk
2426,berries
4555,citrus fruit
3635,tropical fruit
3058,hamburger meat
4391,hamburger meat
1306,whole milk
1024,fish
1295,frankfurter
1661,packaged fruit/vegetables
4591,pastry
3169,other vegetables
3915,misc. beverages
1127,frankfurter
4828,sparkling wine
3683,specialty bar
1971,sausage
3014,curd cheese
3779,frankfurter
2489,whole milk
3564,newspapers
4092,berries
3221,curd
1279,tropical fruit
2581,soda
2295,rolls/buns
4760,canned beer
3649,canned beer
1075,frankfurter
3987,other vegetables
4106,whole milk
4338,whole milk
4166,citrus fruit
1211,frankfurter
3954,frankfurter
3928,butter milk
3827,hamburger meat
4699,pasta
4747,other vegetables
3028,sausage
2851,rolls/buns
4417,grapes
3822,root vegetables
2288,coffee
2184,popcorn
4554,whole milk
3361,tropical fruit
2999,beef
2614,whole milk
4064,frankfurter
3567,tropical fruit
2587,canned beer
3783,finished products
1923,beverages
4835,hamburger meat
1514,whole milk
3154,finished products
1313,other vegetables
2794,ham
2359,other vegetables
2238,curd
3795,bottled beer
3724,curd
1152,whole milk
4559,whole milk
3922,dessert
1709,sausage
2219,other vegetables
2206,ham
1752,other vegetables
3942,other vegetables
3296,soda
2257,herbs
4313,frankfurter
2001,rolls/buns
2449,curd
4914,frankfurter
2764,other vegetables
4187,dog food
1392,specialty bar
3427,curd
1411,frankfurter
3390,soda
4787,beef
3310,canned beer
1782,pork
3375,frankfurter
